instanceid,reg
i-0df52b975e0094b66,us-east-1
i-0a3c1521adc50b006,us-east-1
i-019b86ba30e92c00a,us-east-1
i-056e42add0902de3d,us-east-1
i-0db432db84de4d678,us-east-1
i-032fc7ba76689d980,us-east-1
i-0c308ee5489aac386,us-east-1
i-0feed585ee4ed19e9,us-east-1
i-07aab9f9fe7b22442,us-east-1
i-03c288c5c46ec5459,us-east-1
i-0ebc9531a9666bdd2,us-east-1
i-02c8054b1d486d68c,us-east-1
i-01a4c4b200b0ad068,us-east-1
i-0fbbd5dd5f0a2b42e,us-east-1
i-0a489d09f329daf93,us-east-1
i-0a38ec9ec4f7e461c,us-east-1
i-0829f07da80ef7f13,us-east-1
i-023e839953d2dc829,us-east-1
i-04afe2e44b44f823c,us-east-1

